전용면적,층,지하철역,지하철거리,환율,1000m맛집,1000m문화공간,1000m문화재,1000m쇼핑,가장 가까운 버스정류장까지 거리(m),일일가격
21.04,3,충무로역,399.4739356787322,1195.2,117,36,52,32,166.95499565803877,13.506944444444445
21.04,3,충무로역,399.4739356787322,1195.2,117,36,52,32,166.95499565803877,13.506944444444445
122.31,5,버티고개역,238.7738491675192,1189.9,35,14,37,6,199.08089827563205,69.27083333333333
84.87999999999998,1,버티고개역,153.7732236879109,1189.9,30,13,28,6,38.78579684636771,33.472222222222214
16.64,4,약수역,208.5619824879092,1189.9,62,20,30,29,97.74350362675004,5.034722222222221
43.056,3,충정로(경기대입구)역,200.555682270846,1189.9,102,32,89,7,114.02735679071988,12.902777777777779
59.9707,10,충정로(경기대입구)역,546.5467807347819,1189.9,47,20,55,4,161.22384425777142,43.47222222222222
84.9,10,신설동역,533.615752338311,1188.2,21,7,4,23,99.42774589932525,30.534722222222214
24.3931,11,상왕십리역,413.01287042336577,1188.2,18,7,4,22,17.8702147977542,12.006944444444445
139.8,21,명동역,325.43124752086374,1188.2,175,51,123,11,53.1320517975455,47.013888888888886
71.93,10,충무로역,197.7903468724876,1188.2,129,37,71,25,65.48284525938637,16.020833333333332
113.46,12,회현(남대문시장)역,310.7749620679906,1188.2,163,48,118,11,85.65990388873333,58.47222222222222
84.87999999999998,2,버티고개역,153.7732236879109,1188.2,30,13,28,6,38.78579684636771,34.23611111111111
17.68,5,충정로(경기대입구)역,169.5458754048524,1188.2,90,31,86,5,152.21828755716365,11.506944444444445
84.9846,7,서울역,421.6932281404668,1188.2,74,30,74,4,168.61624434442572,21.180555555555557
84.87999999999998,5,신금호역,358.1312622656157,1188.2,47,17,24,13,392.9343565790587,20.347222222222225
84.87999999999998,17,버티고개역,153.7732236879109,1188.2,30,13,28,6,38.78579684636771,33.020833333333336
84.95999999999998,3,청구역,148.0705761514984,1188.2,63,20,29,31,70.23484133934264,24.652777777777782
84.87999999999998,11,버티고개역,153.7732236879109,1188.2,30,13,28,6,38.78579684636771,31.805555555555546
59.04,-1,버티고개역,369.6220653838971,1188.2,44,20,39,6,211.0081330867734,9.548611111111109
84.98,5,신당역,524.9534945478343,1188.2,44,15,23,27,264.0077328980435,18.277777777777775
44.99,23,회현(남대문시장)역,310.7749620679906,1188.2,163,48,118,11,85.65990388873333,22.743055555555557
32.67,12,신금호역,358.1312622656157,1187.6,47,17,24,13,392.9343565790587,1.2706597222222222
32.0134,2,시청역,388.9620632501068,1187.6,145,42,99,11,329.724688403661,12.708333333333334
18.35,9,신당역,462.5655163555446,1187.6,27,7,5,23,104.2561319628623,8.506944444444443
71.93,9,충무로역,197.7903468724876,1187.6,129,37,71,25,65.48284525938637,7.586805555555556
84.84999999999998,14,신당역,524.9534945478343,1187.6,44,15,23,27,264.0077328980435,27.881944444444443
84.9918,12,충정로(경기대입구)역,546.5467807347819,1187.6,47,20,55,4,161.22384425777142,10.173611111111109
19.76,4,충무로역,399.4739356787322,1187.6,117,36,52,32,166.95499565803877,13.340277777777779
