역명,역사위치경도,역사위치위도
신당역,127.016146,37.566154
청구역,127.013986,37.560608
약수역,127.010358,37.554263
버티고개역,127.007055,37.548013
한강진역,127.001725,37.539631
이태원역,126.994302,37.534488
녹사평(용산구청)역,126.986695,37.534675
삼각지역,126.974032,37.535534
효창공원앞역,126.961384,37.539233
공덕역,126.951678,37.543555
대흥(서강대앞)역,126.942069,37.547771
광흥창(서강)역,126.931993,37.547456
상수역,126.922852,37.547716
합정역,126.913366,37.549209
망원역,126.910052,37.556094
마포구청역,126.903343,37.563515
월드컵경기장(성산)역,126.899298,37.569532
디지털미디어시티역,126.901391,37.576108
증산(명지대앞)역,126.909645,37.583876
새절(신사)역,126.913629,37.591148
구산역,126.91727,37.611377
연신내역,126.920625,37.618636
독바위역,126.933031,37.618456
불광역,126.92939,37.610873
역촌역,126.922744,37.606021
응암역,126.915577,37.598605
하남시청(덕풍-신장)역,127.20612,37.54205
하남검단산역,127.22345,37.53972
하남풍산역,127.203864,37.552034
미사역,127.193877,37.560927
강일역,127.17593,37.55749
마천역,127.152781,37.49499
거여역,127.14415,37.493105
개롱역,127.13482,37.498079
오금역,127.127938,37.502057
방이역,127.126133,37.508857
올림픽공원(한국체대)역,127.130923,37.516201
둔촌동역,127.136248,37.527788
상일동역,127.166417,37.556712
고덕역,127.154151,37.555004
명일역,127.143999,37.55137
굽은다리(강동구민회관앞)역,127.142853,37.545477
길동역,127.140004,37.537801
강동역,127.132481,37.535804
천호(풍납토성)역,127.123308,37.53864
광나루(장신대)역,127.10357,37.545303
아차산(어린이대공원후문)역,127.089761,37.551691
군자(능동)역,127.079577,37.557088
장한평역,127.064623,37.56144
답십리역,127.052704,37.566747
마장역,127.042973,37.5661
왕십리(성동구청)역,127.037059,37.56184
행당역,127.029476,37.557322
신금호역,127.020331,37.554548
청구역,127.013639,37.560276
동대문역사문화공원역,127.005353,37.564665
을지로4가역,126.998032,37.567352
종로3가역,126.990305,37.57254
광화문(세종문화회관)역,126.97717,37.571525
서대문역,126.966641,37.565773
충정로(경기대입구)역,126.9629,37.560236
애오개역,126.95682,37.553736
공덕역,126.951372,37.544431
마포역,126.945932,37.539574
여의나루역,126.932901,37.527098
여의도역,126.924357,37.521747
신길역,126.914839,37.517623
영등포시장역,126.905139,37.522669
영등포구청역,126.89503,37.5242
양평역,126.886129,37.525569
오목교(목동운동장앞)역,126.875181,37.524496
목동역,126.864931,37.526065
신정(은행정)역,126.856191,37.524997
까치산역,126.846683,37.531768
화곡역,126.840461,37.541513
우장산역,126.836318,37.548768
발산역,126.837668,37.558598
마곡역,126.825448,37.560183
송정역,126.811973,37.561184
김포공항역,126.801292,37.562384
개화산역,126.806171,37.572399
방화역,126.812741,37.577446
대화역,126.747569,37.676087
주엽역,126.761334,37.670072
정발산역,126.773359,37.659477
마두역,126.77762,37.652206
백석역,126.78787,37.643114
대곡역,126.811024,37.631626
화정역,126.83265,37.634592
원당역,126.843041,37.653324
삼송역,126.895558,37.653083
지축역,126.91397,37.648017
원흥역,126.872642,37.650658
소요산역,127.061034,37.9481
동두천역,127.05479,37.927878
보산역,127.057277,37.913702
동두천중앙역,127.056482,37.901885
지행역,127.055716,37.892334
덕정역,127.061277,37.843188
덕계역,127.056486,37.818486
양주역,127.044708,37.774381
녹양역,127.042292,37.75938
가능역,127.044213,37.748577
의정부역,127.045958,37.738415
회룡역,127.04736,37.724416
망월사역,127.047455,37.709914
도봉산역,127.046049,37.689534
도봉역,127.045595,37.679563
방학역,127.044273,37.667503
인천역,126.617326,37.476403
신포역,126.623853,37.46874
숭의역,126.638297,37.460789
인하대역,126.649619,37.448493
송도역,126.657772,37.428514
연수역,126.67894,37.417804
원인재역,126.686648,37.413049
남동인더스파크역,126.695216,37.407722
호구포역,126.708627,37.401637
인천논현역,126.722478,37.400614
소래포구역,126.733522,37.40095
월곶역,126.742699,37.391769
달월역,126.745177,37.379681
사리역,126.85685,37.28998
야목역,126.879483,37.264179
어천역,126.90879,37.250102
오목천역,126.963676,37.24304
고색역,126.980248,37.24963
매교역,127.015678,37.265481
수원시청역,127.030736,37.261911
매탄권선역,127.040566,37.252759
망포역,127.057353,37.245795
영통역,127.071394,37.251568
청명역,127.078934,37.259489
상갈역,127.108847,37.26181
기흥역,127.11591,37.275061
신갈역,127.111313,37.286102
