단지명,전용면적,위도,경도,지하철역까지(m),환율,맛집,문화공간,문화재,쇼핑,버스정류장까지(m),버스정류장,금리,보증금고려월세,지하철역,소비자물가지수,종합주가지수,주택담보대출금리,예측일일가격,예측월세가격,기존월세가격,월수입차액,주소
롯데캐슬,84.9,37.57081055,127.0214639,533.6157523,1274.6,21,7,4,23,99.4277459,황학동롯데캐슬,1.75,180.2916667,신설동역,107.56,2628.34,3.03,36.767582,386.0596,180.2916667,205.7679341300781,서울특별시 중구 황학동
롯데캐슬,84.89,37.57081055,127.0214639,533.6157523,1238.4,21,7,4,23,99.4277459,황학동롯데캐슬,1.75,186.2916667,신설동역,108.74,2474.95,3.1,37.212395,390.73013,186.2916667,204.43846635664065,서울특별시 중구 황학동
삼성,84.96,37.55853588,127.0184475,472.8633598,1284.1,55,17,24,29,25.03257628,신당동삼성아파트.금호여중,1.75,169.1666667,신금호역,108.74,2474.95,3.1,35.553223,373.30884,169.1666667,204.142171190625,서울특별시 중구 신당동
롯데캐슬,84.92,37.57081055,127.0214639,533.6157523,1303.1,21,7,4,23,99.4277459,황학동롯데캐슬,2.5,190.4166667,신설동역,108.62,2479.57,3.27,37.555122,394.3288,190.4166667,203.9121296867188,서울특별시 중구 황학동
약수(372-2796),52.93,37.55376893,127.0108054,67.60227851,1311.7,54,20,30,10,75.75270809,약수역8번출구.신당사회복지관,2.25,53.75,약수역,108.74,2362.79,3.17,24.514402,257.4012,53.75,203.6512145996093,서울특별시 중구 신당동
남산타운,84.88,37.54716677,127.0056772,153.7732237,1300.6,30,13,28,6,38.78579685,버티고개,2.25,174.625,버티고개역,108.74,2362.79,3.17,35.988983,377.8843,174.625,203.25930786132807,서울특별시 중구 신당동
남산타운,84.88,37.54716677,127.0056772,153.7732237,1302.5,30,13,28,6,38.78579685,버티고개,2.5,176.25,버티고개역,108.62,2479.57,3.27,36.052387,378.55008,176.25,202.30007934570312,서울특별시 중구 신당동
남산타운,84.88,37.54716677,127.0056772,153.7732237,1300.6,30,13,28,6,38.78579685,버티고개,2.25,177.375,버티고개역,108.74,2362.79,3.17,35.988983,377.8843,177.375,200.50930786132807,서울특별시 중구 신당동
남산타운,59.94,37.54716677,127.0056772,153.7732237,1274.6,30,13,28,6,38.78579685,버티고개,1.75,86.25,버티고개역,107.56,2628.34,3.03,27.289291,286.53754,86.25,200.2875366210937,서울특별시 중구 신당동
롯데캐슬,84.92,37.57081055,127.0214639,533.6157523,1287.5,21,7,4,23,99.4277459,황학동롯데캐슬,1.75,186.2916667,신설동역,108.74,2474.95,3.1,36.800987,386.41037,186.2916667,200.11870317304687,서울특별시 중구 황학동
남산타운,59.94,37.54716677,127.0056772,153.7732237,1291.7,30,13,28,6,38.78579685,버티고개,1.75,87.08333333,버티고개역,108.74,2474.95,3.1,27.349014,287.16464,87.08333333,200.0813090039844,서울특별시 중구 신당동
롯데캐슬,84.97,37.57081055,127.0214639,533.6157523,1286.4,21,7,4,23,99.4277459,황학동롯데캐슬,1.75,186.2916667,신설동역,107.56,2628.34,3.03,36.726414,385.62732,186.2916667,199.3356526359375,서울특별시 중구 황학동
삼성사이버빌리지,84.95,37.55892666,126.9643209,86.42285254,1281.6,73,29,74,4,66.59799483,종근당.충정로역,1.75,170.0,충정로(경기대입구)역,107.56,2628.34,3.03,35.137123,368.93976,170.0,198.93975830078125,서울특별시 중구 중림동
삼성,84.96,37.55853588,127.0184475,472.8633598,1292.9,55,17,24,29,25.03257628,신당동삼성아파트.금호여중,1.75,174.5833333,신금호역,108.74,2474.95,3.1,35.565872,373.44165,174.5833333,198.858317090625,서울특별시 중구 신당동
롯데캐슬,84.97,37.57081055,127.0214639,533.6157523,1302.7,21,7,4,23,99.4277459,황학동롯데캐슬,2.25,191.375,신설동역,108.74,2362.79,3.17,37.01851,388.69434,191.375,197.3193359375,서울특별시 중구 황학동
도현블랑빌,98.39,37.54803747,127.0061728,78.00896249,1228.7,30,13,29,6,29.03902553,버티고개,1.25,161.25,버티고개역,106.06,2698.72,2.93,34.05288,357.55524,161.25,196.30523681640625,서울특별시 중구 신당동
롯데캐슬,84.89,37.57081055,127.0214639,533.6157523,1199.6,21,7,4,23,99.4277459,황학동롯데캐슬,1.25,174.25,신설동역,105.3,2724.02,2.88,35.279453,370.43423,174.25,196.18423461914065,서울특별시 중구 황학동
약수(372-2796),52.93,37.55376893,127.0108054,67.60227851,1436.6,54,20,30,10,75.75270809,약수역8번출구.신당사회복지관,3.0,72.5,약수역,109.21,2230.27,3.52,25.344608,266.11838,72.5,193.61837768554688,서울특별시 중구 신당동
남산센트럴자이,82.413,37.5625144,126.9978244,352.7013286,1218.5,104,36,55,33,129.0802747,충무로역8번출구.대한극장앞,1.5,142.5,충무로역,106.85,2703.24,2.98,32.008728,336.09164,142.5,193.5916442871093,서울특별시 중구 충무로4가
롯데캐슬,84.92,37.57081055,127.0214639,533.6157523,1219.4,21,7,4,23,99.4277459,황학동롯데캐슬,1.25,184.2083333,신설동역,106.06,2698.72,2.93,35.703064,374.88217,184.2083333,190.67383833085933,서울특별시 중구 황학동
신당푸르지오,145.1,37.55986467,127.0190343,453.603167,1290.6,55,15,24,29,62.12000898,동화동,1.75,205.625,청구역,108.74,2474.95,3.1,37.432896,393.04538,205.625,187.42037963867188,서울특별시 중구 신당동
롯데캐슬,59.94,37.57081055,127.0214639,533.6157523,1390.1,21,7,4,23,99.4277459,황학동롯데캐슬,2.5,101.75,신설동역,108.93,2333.93,3.38,27.389978,287.59476,101.75,185.84475708007807,서울특별시 중구 황학동
삼성사이버빌리지,59.7,37.55892666,126.9643209,86.42285254,1199.6,73,29,74,4,66.59799483,종근당.충정로역,1.25,101.1666667,충정로(경기대입구)역,104.69,2865.55,2.82,27.276957,286.40805,101.1666667,185.24138383710937,서울특별시 중구 중림동
롯데캐슬,59.91,37.57081055,127.0214639,533.6157523,1408.4,21,7,4,23,99.4277459,황학동롯데캐슬,2.5,102.5,신설동역,108.93,2333.93,3.38,27.389978,287.59476,102.5,185.09475708007807,서울특별시 중구 황학동
약수하이츠,65.37,37.5551916,127.0163594,358.1312623,1302.7,47,17,24,13,392.9343566,신당동대우푸르지오.금호여중,2.25,119.5,신금호역,108.74,2362.79,3.17,28.961376,304.09445,119.5,184.59445190429688,서울특별시 중구 신당동
롯데캐슬,59.91,37.57081055,127.0214639,533.6157523,1274.6,21,7,4,23,99.4277459,황학동롯데캐슬,1.75,92.66666667,신설동역,107.56,2628.34,3.03,26.243994,275.56192,92.66666667,182.89525349601564,서울특별시 중구 황학동
약수하이츠,84.88,37.5551916,127.0163594,358.1312623,1199.6,47,17,24,13,392.9343566,신당동대우푸르지오.금호여중,1.25,185.2083333,신금호역,104.69,2865.55,2.82,34.97437,367.23087,185.2083333,182.02253217851563,서울특별시 중구 신당동
대우디오빌,73.86,37.55501987,126.967199,300.4751552,1317.3,69,27,69,4,106.4469829,손기정체육공원입구,2.5,190.4166667,서울역,108.62,2479.57,3.27,35.396137,371.65945,190.4166667,181.24278764570312,서울특별시 중구 만리동1가
약수하이츠,84.88,37.5551916,127.0163594,358.1312623,1194.2,47,17,24,13,392.9343566,신당동대우푸르지오.금호여중,1.25,185.2083333,신금호역,104.69,2865.55,2.82,34.87234,366.1596,185.2083333,180.95127363359376,서울특별시 중구 신당동
약수하이츠,114.92,37.5551916,127.0163594,358.1312623,1394.2,47,17,24,13,392.9343566,신당동대우푸르지오.금호여중,2.5,200.4166667,신금호역,108.93,2333.93,3.38,36.144894,379.52136,200.4166667,179.1046956046875,서울특별시 중구 신당동
삼정아트테라스정동,32.0134,37.56325109,126.9720315,300.913761,1202.7,143,42,101,11,230.6842081,서소문KAL빌딩,1.25,65.83333333,시청역,105.3,2724.02,2.88,23.267296,244.3066,65.83333333,178.4732615186328,서울특별시 중구 정동
서울역센트럴자이,72.9733,37.55478004,126.9644582,546.5467807,1220.6,47,20,55,4,161.2238443,손기정체육공원입구,1.25,196.875,충정로(경기대입구)역,106.06,2698.72,2.93,35.499077,372.7403,196.875,175.86529541015625,서울특별시 중구 만리동2가
서울역센트럴자이,72.9733,37.55478004,126.9644582,546.5467807,1220.6,47,20,55,4,161.2238443,손기정체육공원입구,1.25,196.875,충정로(경기대입구)역,106.06,2698.72,2.93,35.499077,372.7403,196.875,175.86529541015625,서울특별시 중구 만리동2가
남산타운,84.88,37.54716677,127.0056772,153.7732237,1326.7,30,13,28,6,38.78579685,버티고개,2.5,205.4166667,버티고개역,108.62,2479.57,3.27,36.190495,380.00018,205.4166667,174.58351640546874,서울특별시 중구 신당동
약수하이츠,57.63,37.5551916,127.0163594,358.1312623,1427.0,47,17,24,13,392.9343566,신당동대우푸르지오.금호여중,3.0,111.0,신금호역,109.21,2230.27,3.52,27.079039,284.3299,111.0,173.32989501953125,서울특별시 중구 신당동
남산센트럴자이,82.413,37.5625144,126.9978244,352.7013286,1196.0,104,36,55,33,129.0802747,충무로역8번출구.대한극장앞,1.25,162.0833333,충무로역,105.3,2724.02,2.88,31.915073,335.10828,162.0833333,173.0249430671875,서울특별시 중구 충무로4가
서울역센트럴자이,84.972,37.55478004,126.9644582,546.5467807,1336.9,47,20,55,4,161.2238443,손기정체육공원입구,2.5,216.6666667,충정로(경기대입구)역,108.62,2479.57,3.27,37.078022,389.31924,216.6666667,172.65257768476562,서울특별시 중구 만리동2가
신당KCC스위첸,59.7807,37.56333277,127.0245094,442.7768232,1218.5,18,7,4,16,120.5408259,금호베스트빌.래미안하이베르,1.5,97.5,상왕십리역,106.85,2703.24,2.98,25.717628,270.0351,97.5,172.53509521484375,서울특별시 중구 신당동
약수하이츠,57.63,37.5551916,127.0163594,358.1312623,1211.5,47,17,24,13,392.9343566,신당동대우푸르지오.금호여중,1.25,100.8333333,신금호역,106.06,2698.72,2.93,25.998728,272.98663,100.8333333,172.15330000078126,서울특별시 중구 신당동
삼성사이버빌리지,114.77,37.55892666,126.9643209,86.42285254,1430.4,73,29,74,4,66.59799483,종근당.충정로역,3.0,200.0,충정로(경기대입구)역,109.21,2230.27,3.52,35.272686,370.3632,200.0,170.36318969726562,서울특별시 중구 중림동
롯데캐슬,59.91,37.57081055,127.0214639,533.6157523,1199.4,21,7,4,23,99.4277459,황학동롯데캐슬,1.25,101.6666667,신설동역,105.3,2724.02,2.88,25.825962,271.1726,101.6666667,169.505940721875,서울특별시 중구 황학동
남산타운,84.88,37.54716677,127.0056772,153.7732237,1264.3,30,13,28,6,38.78579685,버티고개,1.75,207.2916667,버티고개역,107.56,2628.34,3.03,35.85289,376.45532,207.2916667,169.163655565625,서울특별시 중구 신당동
서울역센트럴자이,84.9918,37.55478004,126.9644582,546.5467807,1394.2,47,20,55,4,161.2238443,손기정체육공원입구,2.5,206.25,충정로(경기대입구)역,108.93,2333.93,3.38,35.672226,374.55835,206.25,168.308349609375,서울특별시 중구 만리동2가
롯데캐슬,84.92,37.57081055,127.0214639,533.6157523,1256.9,21,7,4,23,99.4277459,황학동롯데캐슬,1.75,222.2916667,신설동역,107.56,2628.34,3.03,37.13782,389.9471,222.2916667,167.65544633710937,서울특별시 중구 황학동
서울역센트럴자이,84.972,37.55478004,126.9644582,546.5467807,1302.5,47,20,55,4,161.2238443,손기정체육공원입구,2.5,225.8333333,충정로(경기대입구)역,108.62,2479.57,3.27,37.343857,392.11047,225.8333333,166.2771403328125,서울특별시 중구 만리동2가
남산타운,84.88,37.54716677,127.0056772,153.7732237,1188.2,30,13,28,6,38.78579685,버티고개,1.25,198.125,버티고개역,104.69,2865.55,2.82,34.628624,363.60056,198.125,165.47555541992188,서울특별시 중구 신당동
