정류장번호,정류장명,정류장_위도,정류장_경도,geometry,구
SEB101900009,조선일보,37.5688422,126.9766737,POINT (126.9766737 37.5688422),중구
SEB101900010,약수역.3.6호선,37.5525416,127.0121963,POINT (127.0121963 37.5525416),중구
SEB101900011,시청역,37.5656355,126.9767938,POINT (126.9767938 37.5656355),중구
SEB101900012,서울역,37.5582012,126.9713291,POINT (126.9713291 37.5582012),중구
SEB101900013,서울역서부,37.5559789,126.9692312,POINT (126.9692312 37.5559789),중구
SEB101900017,중림동입구.서소문성지역사박물관,37.5584728,126.9691206,POINT (126.9691206 37.5584728),중구
SEB101900018,약수지구대,37.5527928,127.0121072,POINT (127.0121072 37.5527928),중구
SEB101900019,약수시장.남산타운동문,37.5516046,127.0107859,POINT (127.0107859 37.5516046),중구
SEB101900020,중구청소년센터.남산타운2상가,37.5517045,127.0121192,POINT (127.0121192 37.5517045),중구
SEB101900021,중구청소년센터.남산타운2상가,37.5517531,127.0125454,POINT (127.0125454 37.5517531),중구
SEB101900023,서울방송고등학교.남산타운아파트,37.549586,127.0124097,POINT (127.0124097 37.549586),중구
