단지명,전용면적,계약년도,계약일,보증금,월세,층,위도,경도,지하철역,지하철거리,500m음식점수,계약날짜,환율,500m맛집,500m문화공간,500m문화재,500m쇼핑,1000m맛집,1000m문화공간,1000m문화재,1000m쇼핑,가장 가까운 버스정류장까지 거리(m),가장 가까운 버스정류장,금리,보증금고려월세
(73-1),18.35,2022-01-01,20,1000.0,50,9,37.56980153016272,127.019329304009,신당역,462.5655163555446,106,2022/01/20,1191.8,4,1,1,4,27,7,5,23,104.2561319628623,청계8가.영도교,1.25,51.04166666666666
충무로헤센스마트,21.04,2022-01-01,20,1000.0,90,6,37.5613425706769,126.998598124335,충무로역,399.4739356787322,226,2022/01/20,1191.8,17,7,15,1,117,36,52,32,166.95499565803877,퇴계로5가,1.25,91.04166666666669
(73-1),19.15,2022-01-01,20,1000.0,55,6,37.56980153016272,127.019329304009,신당역,462.5655163555446,106,2022/01/20,1191.8,4,1,1,4,27,7,5,23,104.2561319628623,청계8가.영도교,1.25,56.04166666666666
서제빌딩,24.2,2022-01-01,20,1000.0,65,5,37.5643899218959,127.001330851403,동대문역사문화공원역,356.66310340976054,272,2022/01/20,1191.8,25,4,8,3,91,35,49,30,133.71080905767624,베이튼호텔,1.25,66.04166666666667
남산타운,84.87999999999998,2022-01-01,20,20000.0,140,10,37.5471667734011,127.005677166122,버티고개역,153.7732236879109,27,2022/01/20,1191.8,10,1,0,1,30,13,28,6,38.78579684636771,버티고개,1.25,160.83333333333334
청구e편한세상,84.95,2022-01-01,21,65000.0,27,4,37.5599601596254,127.015451019186,청구역,148.0705761514984,96,2022/01/21,1190.4,4,1,1,0,63,20,29,31,70.23484133934264,청구역,1.25,94.70833333333331
청구e편한세상,118.47,2022-01-01,21,10000.0,300,11,37.5599601596254,127.015451019186,청구역,148.0705761514984,96,2022/01/21,1190.4,4,1,1,0,63,20,29,31,70.23484133934264,청구역,1.25,310.4166666666667
약수하이츠,114.92,2022-01-01,21,60000.0,100,1,37.5551915990934,127.016359379417,신금호역,358.1312622656157,4,2022/01/21,1190.4,7,3,9,0,47,17,24,13,392.9343565790587,신당동대우푸르지오.금호여중,1.25,162.5
남산트라팰리스,116.11,2022-01-01,21,1000.0,347,26,37.5539946799726,126.975612746457,서울역,300.40511873242406,54,2022/01/21,1190.4,8,5,9,0,115,37,95,8,83.49973589710727,후암삼거리,1.25,348.0416666666667
삼정아트테라스정동,13.8874,2022-01-01,21,7000.0,50,7,37.5632510909133,126.972031493823,시청역,300.9137610337463,514,2022/01/21,1190.4,33,13,37,1,143,42,101,11,230.68420809566103,서소문KAL빌딩,1.25,57.29166666666666
