분류1,명칭,도로명 주소,분류2,분류3,위도,경도
맛집,남원추어탕,중구 을지로38길 14,맛집,한식,37.5650138,127.0030758
맛집,남포면옥,중구 을지로3길 24,맛집,한식,37.56728755,126.9817546662793
맛집,느티나무와 곰이복이,중구 퇴계로71길 38,맛집,한식,37.5665006,127.0128694
맛집,느티나무집,중구 동호로28길 11,맛집,한식,37.5602144,127.0037942
맛집,다채,중구 마장로1가길 11-8,맛집,한식,37.5691559,127.0140304
맛집,달개비,중구 세종대로19길 16,맛집,한식,37.5666738,126.9757189
맛집,닭한마리돼지한근,중구 동호로24길 33,맛집,한식,37.5601251,127.0050391
맛집,담양숯불떡갈비,중구 다산로10길 26,맛집,한식,37.5535409,127.0106197
맛집,대림정,중구 퇴계로 205,맛집,한식,37.5596957,126.9809292
맛집,대복,중구 퇴계로 253-7,맛집,한식,37.5610864,126.9921994
맛집,대복집,중구 세종대로14길 22-2,맛집,한식,37.5627381,126.9778333720675
맛집,대원,중구 충무로2-12,맛집,한식,37.5674541,126.9925184
맛집,대원집,중구 을지로3길 30-4,맛집,한식,37.56738565,126.9816299864507
맛집,대장금,중구 동호로 235-14,맛집,한식,37.5525369,127.0124355
맛집,돈궁,중구 다동길 24-3,맛집,한식,37.56743274999999,126.9808908321598
맛집,동해횟집,중구 퇴계로84길 14,맛집,한식,37.5645161,127.0191035
맛집,등촌샤브칼국수,중구 동호로 191,맛집,한식,37.5525369,127.0124355
맛집,마당집,중구 칠패로 28,맛집,한식,37.5594426,126.9689088
맛집,만포집,중구 마른내로 85,맛집,한식,37.5643193,126.9973687
맛집,말뚜기감자탕,중구 장충단로 179,맛집,한식,37.5601768,127.005621
맛집,명동교자,중구 명동10길 29,맛집,한식,37.5631893,126.9855903
맛집,명동부대찌개,중구 명동길 25-7,맛집,한식,37.5638495,126.9851142
맛집,명동삼계탕,중구 세종대로21길 55,맛집,한식,37.5676145,126.9757627
맛집,명동주물럭,중구 명동8길 21-7,맛집,한식,37.562811,126.9854229
맛집,명동함흥면옥,중구 명동10길 25,맛집,한식,37.5628452,126.9854289
맛집,모란,중구 남대문로1길 47,맛집,한식,37.5632055,126.9772796971429
맛집,목우촌명가,중구 통일로 114,맛집,한식,37.5572801,126.9722447
맛집,목포낙지,중구 다산로36길 8,맛집,한식,37.5595765,127.0211803315083
맛집,니지엔펍(명동점),중구 명동4길 25  ,맛집,뷔페/퓨전/기타,37.5625879,126.9838611
맛집,라운지W,중구 청파로 464,맛집,뷔페/퓨전/기타,37.5575041,126.9690867
맛집,스칸디나비안클럽,중구 을지로 245,맛집,뷔페/퓨전/기타,37.565877,126.9802901
맛집,패밀리부페,중구 을지로 79  ,맛집,뷔페/퓨전/기타,37.565877,126.9802901
맛집,호아빈,중구 서소문로 139,맛집,뷔페/퓨전/기타,37.56410615,126.9761637690649
맛집,강가,중구 세종대로 136,맛집,양식/카페/바/주점,37.568291,126.977942
맛집,기소야(을지점),중구 삼일대로 363 ,맛집,양식/카페/바/주점,37.5589046,126.9918561
맛집,노리타명동점,중구 명동8나길 20,맛집,양식/카페/바/주점,37.5612835,126.9831326
맛집,매칭몰,중구 명동길 43,맛집,양식/카페/바/주점,37.5638495,126.9851142
맛집,메종꼬레,중구 동호로24길 3,맛집,양식/카페/바/주점,37.5601251,127.0050391
맛집,명동돈까스,중구 명동3길 8,맛집,양식/카페/바/주점,37.5649181,126.9834904
맛집,사보텐 명동점,중구 명동8가길 20,맛집,양식/카페/바/주점,37.5617876,126.9866639
맛집,아웃백스테이크하우스(서대문점),중구 통일로 114,맛집,양식/카페/바/주점,37.5572801,126.9722447
맛집,아웃백스테이크하우스(시청점),중구 세종대로 84,맛집,양식/카페/바/주점,37.56364585,126.9771502276509
맛집,아웃백스테이크하우스(회현점),중구 남대문시장10길 22  ,맛집,양식/카페/바/주점,37.5603812,126.9800501
맛집,아하바브라카,중구 정동길 35,맛집,양식/카페/바/주점,37.5665663,126.9709728
맛집,어반가든,중구 정동길 12-15,맛집,양식/카페/바/주점,37.5665663,126.9709728
맛집,젠하이더웨이,중구 명동6길 21,맛집,양식/카페/바/주점,37.5626436,126.9842698
맛집,툇마루,중구 명동10길 19-3,맛집,양식/카페/바/주점,37.5631893,126.9855903
맛집,팰리스,중구 퇴계로 10,맛집,양식/카페/바/주점,37.5596957,126.9809292
맛집,피자몰리미니,중구 명동10길 41,맛집,양식/카페/바/주점,37.5631893,126.9855903
맛집,하늘정원,중구 동호로 264,맛집,양식/카페/바/주점,37.5525369,127.0124355
맛집,가나일식,중구 남대문로9길 24 ,맛집,일식,37.5670765,126.981058745518
맛집,다도해수산,중구 서소문로 132,맛집,일식,37.5615397,126.9681288
맛집,동신참치,중구 서소문로 95,맛집,일식,37.5615397,126.9681288
맛집,동해,중구 칠패로 36,맛집,일식,37.5594426,126.9689088
맛집,동해일식,중구 무교로 16  ,맛집,일식,37.5675475,126.9791037
맛집,동해횟집,중구 퇴계로84길 14,맛집,일식,37.5645161,127.0191035
맛집,막내회집,중구 남대문시장4길 34-11  ,맛집,일식,37.558908,126.9772351
맛집,참맛감자탕,중구 다산로 107  ,맛집,한식,37.5507793,127.0076435
맛집,청기와복집,중구 동호로12길 11,맛집,한식,37.5592923,127.0121778
맛집,청목원,중구 세종대로2나길 8,맛집,한식,37.5587324,126.9750069
맛집,청송옥,중구 서소문로11길 14,맛집,한식,37.5642501,126.9728393
맛집,충무김밥,중구 명동10길 17-1  ,맛집,한식,37.5631893,126.9855903
맛집,세림,중구 남대문로9길 24,맛집,한식,37.5670765,126.981058745518
맛집,속초집,중구 남대문로 25-15  ,맛집,한식,37.5604407,126.9759197
맛집,손가명가,중구 을지로1길 46,맛집,한식,37.56804195,126.9799283590417
맛집,송원,중구 동호로24길 15,맛집,한식,37.5601251,127.0050391
맛집,송정,중구 을지로38길 11,맛집,한식,37.5650138,127.0030758
맛집,솥정원,중구 명동10길 19-3,맛집,한식,37.5631893,126.9855903
맛집,신촌설렁탕,중구 한강대로 416,맛집,한식,37.5551197,126.9737833
맛집,아구랑꽃게랑,중구 동호로24길 35-7,맛집,한식,37.5601251,127.0050391
맛집,아리랑가든,중구 퇴계로 210-12,맛집,한식,37.5596957,126.9809292
맛집,아미소(명동본점),중구 명동4길 25,맛집,한식,37.5625879,126.9838611
맛집,아이러브신당동 떡볶이,중구 퇴계로76길 50,맛집,한식,37.5629601,127.0148779
맛집,약수한방삼계탕,중구 다산로 77,맛집,한식,37.5507793,127.0076435
맛집,양미옥,중구 충무로 62,맛집,한식,37.5663018,126.9926457
맛집,엉터리생고기,중구  통일로4길 16,맛집,한식,37.5651973,126.9683956
맛집,엉터리생고기 ,중구 동호로 201 ,맛집,한식,37.5525369,127.0124355
맛집,옛멀,중구 퇴계로 409,맛집,한식,37.5596957,126.9809292
맛집,오대감,중구 명동8나길 35  ,맛집,한식,37.5612835,126.9831326
맛집,오복정,중구 세종대로11길 30,맛집,한식,37.561896,126.9752689
맛집,오신정,중구 충무로 3-23,맛집,한식,37.5674541,126.9925184
맛집,오장갈비,중구 마른내로 109,맛집,한식,37.5643193,126.9973687
맛집,오장동 복집,중구 퇴계로45길 32-41,맛집,한식,37.56313,126.9991469
맛집,오장동 신창면옥,중구 마른내로 106,맛집,한식,37.5643193,126.9973687
맛집,오장동 함흥냉면,중구 다산로 178,맛집,한식,37.5507793,127.0076435
맛집,오장동복집,중구 퇴계로45길 32-41,맛집,한식,37.56313,126.9991469
맛집,오장동흥남집,중구 마른내로 114,맛집,한식,37.5643193,126.9973687
맛집,옥돌정,중구 퇴계로48길 12  ,맛집,한식,37.5616014,127.0002443
맛집,용궁해물샤브스끼,중구 을지로1길 46,맛집,한식,37.56804195,126.9799283590417
맛집,용수산,중구 세종대로 136,맛집,한식,37.568291,126.977942
맛집,우래옥,중구 창경궁로 62-29,맛집,한식,37.568212,126.9987356
맛집,우리나라,중구 명동8가길 49,맛집,한식,37.5617876,126.9866639
맛집,우림명가,중구 서소문로 89-20,맛집,한식,37.5615397,126.9681288
맛집,우림정,서울 중구 세종대로11길 33-3  ,맛집,한식,37.561896,126.9752689
맛집,우와,중구 세종대로16길 23,맛집,한식,37.56335055,126.9783959842333
맛집,원할머니 본가,중구 난계로 201,맛집,한식,37.5624893,127.0241713
맛집,원할머니보쌈(약수점),중구 다산로 111,맛집,한식,37.5507793,127.0076435
맛집,원할머니본가,중구 난계로 201,맛집,한식,37.5624893,127.0241713
맛집,월매네남원추어탕,중구 서소문로 109-8,맛집,한식,37.5632889,126.9714806
맛집,월촌,중구 무교로 32,맛집,한식,37.5675475,126.9791037
맛집,유고집칼국수,중구 퇴계로78길 39  ,맛집,한식,37.5653272,127.0168966
맛집,유정식당,중구 마장로1길 28-5,맛집,한식,37.5684462,127.0123239
맛집,은성,중구 충무로5길 2,맛집,한식,37.565496,126.9910652
맛집,은행나무집,중구 다산로40길 17,맛집,한식,37.5636422,127.0179968
맛집,이가촌,중구 명동10길 19-3,맛집,한식,37.5631893,126.9855903
맛집,장가안가,중구 퇴계로27길 12-3,맛집,한식,37.5628642,126.9913133
맛집,장안가,중구 남대문로1길 42,맛집,한식,37.56231615,126.9784639223757
맛집,장터본가,중구 세종대로 62,맛집,한식,37.5644624,126.977128
맛집,목포세발낙지,중구 남대문로9길 20  ,맛집,한식,37.5668379,126.9812870084848
맛집,무진장,중구 퇴계로75길 11,맛집,한식,37.5660276,127.0157195
맛집,문화옥,중구 창경궁로 62-5,맛집,한식,37.5680211,126.9979989
맛집,미각,중구 을지로14길 21,맛집,한식,37.5651153,126.9921521
맛집,미니마니,중구 명동3길 23,맛집,한식,37.5647685,126.9834166569307
맛집,미정갈비,중구 삼일대로12길 23,맛집,한식,37.56695975,126.9891744950665
맛집,미향한정식,중구 명동10길 35-10,맛집,한식,37.56254155,126.9860240666926
맛집,바우네보쌈,중구 명동길 25-7  ,맛집,한식,37.5638495,126.9851142
맛집,방일해장국,중구 새문안로 32  ,맛집,한식,37.5661569,126.9671166
맛집,백상,중구 서애로1길 49,맛집,한식,37.5608168,126.9994615
맛집,백송회관,중구 마장로16길 5,맛집,한식,37.56801,127.022203
맛집,본가원조닭한마리,중구 마른내로2길 19,맛집,한식,37.5636867,126.9920474
맛집,본가집토종순대,중구 퇴계로 197  ,맛집,한식,37.5596957,126.9809292
맛집,봉희설렁탕,중구 을지로44길 31,맛집,한식,37.5654071,127.0065184
맛집,부산갈비,중구 마른내로 107-1,맛집,한식,37.5644364,127.0048558
맛집,산정,중구 동호로 288  ,맛집,한식,37.5525369,127.0124355
맛집,삼대냉면,중구 명동길 25-7  ,맛집,한식,37.5638495,126.9851142
맛집,삼수갑산,중구 세종대로4길 8,맛집,한식,37.5580316,126.9748823
맛집,삼천리,중구 명동8나길 45,맛집,한식,37.5612835,126.9831326
맛집,샤브궁샤브가,중구 덕수궁길 7  ,맛집,한식,37.56468945,126.9762984501155
맛집,서울뚝배기,중구 명동8나길 19,맛집,한식,37.5611004,126.9837379684861
맛집,서울명숯불갈비,중구 난계로17길 62,맛집,한식,37.569799,127.0222998
맛집,서울삼계탕,중구 마른내로 19,맛집,한식,37.5643193,126.9973687
맛집,서울삼계탕(영양센터),중구 남대문로1길 57,맛집,한식,37.56357735,126.9774313776064
